TYPE,WDPAID,WDPA_PID,PA_DEF,NAME,ORIG_NAME,DESIG,DESIG_ENG,DESIG_TYPE,IUCN_CAT,INT_CRIT,MARINE,REP_M_AREA,GIS_M_AREA,REP_AREA,GIS_AREA,NO_TAKE,NO_TK_AREA,STATUS,STATUS_YR,GOV_TYPE,OWN_TYPE,MANG_AUTH,MANG_PLAN,VERIF,METADATAID,SUB_LOC,PARENT_ISO3,ISO3,SUPP_INFO,CONS_OBJ
Polygon,555563682,555563682,1,Duplo Private Nature Reserve,Duplo Private Nature Reserve,Nature Reserve,Nature Reserve,National,Not Reported,Not Applicable,0,0,0,14.9265421707,14.9262527825349,Not Applicable,0,Designated,1964,Individual landowners,Individual landowners,Not Reported,Not Reported,State Verified,1840,ZA-LP,ZAF,ZAF,Not Applicable,Not Applicable
Polygon,555563686,555563686,1,E. H. Rachmann Private Nature Reserve,E. H. Rachmann Private Nature Reserve,Nature Reserve,Nature Reserve,National,Not Reported,Not Applicable,0,0,0,9.37764103502,9.37748328581605,Not Applicable,0,Designated,1965,Individual landowners,Individual landowners,Not Reported,Not Reported,State Verified,1840,ZA-LP,ZAF,ZAF,Not Applicable,Not Applicable
Polygon,555563688,555563688,1,Eden Private Nature Reserve,Eden Private Nature Reserve,Nature Reserve,Nature Reserve,National,Not Reported,Not Applicable,0,0,0,13.3515821229,13.3515974311673,Not Applicable,0,Designated,1967,Individual landowners,Individual landowners,Not Reported,Not Reported,State Verified,1840,ZA-MP,ZAF,ZAF,Not Applicable,Not Applicable
Polygon,555563690,555563690,1,Elephant Rock Provincial Nature Reserve,Elephant Rock Provincial Nature Reserve,Nature Reserve,Nature Reserve,National,Not Reported,Not Applicable,2,0.0139232885463,0.0139232869610981,0.0139232885463,0.0139232869610981,Not Reported,0,Designated,1988,Federal or national ministry or agency,State,Cape Nature,Not Reported,State Verified,1840,ZA-WC,ZAF,ZAF,Not Applicable,Not Applicable
Polygon,555563713,555563713,1,Galgeheuwel Local Nature Reserve,Galgeheuwel Local Nature Reserve,Nature Reserve,Nature Reserve,National,Not Reported,Not Applicable,0,0,0,1.04573293877,1.04573279169553,Not Applicable,0,Designated,1997,Federal or national ministry or agency,State,Tulbagh Municipality,Not Reported,State Verified,1840,ZA-WC,ZAF,ZAF,Not Applicable,Not Applicable
Polygon,555563691,555563691,1,Elizabeth Private Nature Reserve,Elizabeth Private Nature Reserve,Nature Reserve,Nature Reserve,National,Not Reported,Not Applicable,0,0,0,25.0413077091,25.0409569982671,Not Applicable,0,Designated,1958,Individual landowners,Individual landowners,Not Reported,Not Reported,State Verified,1840,ZA-LP,ZAF,ZAF,Not Applicable,Not Applicable
Polygon,555563692,555563692,1,Emakhosini Heritage Park,Emakhosini Heritage Park,Nature Reserve,Nature Reserve,National,Not Reported,Not Applicable,0,0,0,24.2635368268,24.2633483415351,Not Applicable,0,Designated,2006,Federal or national ministry or agency,State,KwaZulu-Natal Nature Conservation Board,Not Reported,State Verified,1840,ZA-NL,ZAF,ZAF,Not Applicable,Not Applicable
Polygon,555563693,555563693,1,Emakhosini Ophathe Heritage Park,Emakhosini Ophathe Heritage Park,Nature Reserve,Nature Reserve,National,Not Reported,Not Applicable,0,0,0,111.151402723,111.149711613678,Not Applicable,0,Designated,2006,Federal or national ministry or agency,State,Not Reported,Not Reported,State Verified,1840,ZA-NL,ZAF,ZAF,Not Applicable,Not Applicable
Polygon,555563694,555563694,1,Emaria Private Nature Reserve,Emaria Private Nature Reserve,Nature Reserve,Nature Reserve,National,Not Reported,Not Applicable,0,0,0,11.6509950699,11.6508384912873,Not Applicable,0,Designated,1955,Individual landowners,Individual landowners,Not Reported,Not Reported,State Verified,1840,ZA-LP,ZAF,ZAF,Not Applicable,Not Applicable
Polygon,555563696,555563696,1,Erfenis Dam Nature Reserve,Erfenis Dam Nature Reserve,Nature Reserve,Nature Reserve,National,Not Reported,Not Applicable,0,0,0,40.3456859298,40.3457210980481,Not Applicable,0,Designated,1988,Federal or national ministry or agency,State,Free State Department of Environmental Affairs,Not Reported,State Verified,1840,ZA-FS,ZAF,ZAF,Not Applicable,Not Applicable
Polygon,555563697,555563697,1,Ermelo Private Nature Reserve,Ermelo Private Nature Reserve,Nature Reserve,Nature Reserve,National,Not Reported,Not Applicable,0,0,0,0.215848192462,0.215849968136686,Not Applicable,0,Designated,1962,Individual landowners,Individual landowners,Private Owners,Not Reported,State Verified,1840,ZA-MP,ZAF,ZAF,Not Applicable,Not Applicable
